Performance Date,Play 1 Title,Author 1 Name,Play 1 Genre,Play 1 # of Acts,Play 1 Date of Premier,Play 1 Box Office Receipts,Play 2 Title,Author 2 Name,Play 2 Genre,Play 2 # of Acts,Play 2 Date of Premier,Play 2 Box Office Receipts,Play 3,Company Director,Day of the Week,
30 Abril 1749,"*Para obsequio a la deidad nunca es culto la crueldad, y Ifigenia en Tracia ",,zarzuela,,,,,,,,,,Fin de fiesta,Josef de Parra,Wednesday,
03 Mayo 1749,Donde hay violencia no hay culpa,,,,,,,Antonio Fernández,Sainetes,1,,,,Manuel de San Miguel,Saturday,
24 Mayo 1749,*El anillo de Giges (2ª parte) ,,,,,,,Nicolás Martínez,Sainetes,1,,,,Josef de Parra,Saturday,
13 Junio 1749,*Primero y segundo Isaac ,,Auto,,,,,,Sainetes,1,,,,Josef de Parra,Friday,
13 Junio 1749,*El laberinto del mundo,Exornado,Auto,,,,,Antonio Fernández,Sainetes,1,,,,Manuel de San Miguel,Friday,
06 Noviembre 1749,*El anillo de Giges (1ª parte),,,,1749,,,Antonio Fernández,Sainetes,1,,,,Manuel de San Miguel,Thursday,
06 Noviembre 1749,*El mágico Apolonio (1ª parte) ,,,,1749,,,Nicolás Martínez,Sainetes,1,,,,Josef de Parra,Thursday,
07 Noviembre 1749,*El mágico Apolonio (1ª parte) ,,,,1749,,,Nicolás Martínez,Sainetes,1,,,,Josef de Parra,Friday,
08 Noviembre 1749,*El mágico Apolonio (1ª parte) ,,,,1749,,,Nicolás Martínez,Sainetes,1,,,,Josef de Parra,Saturday,
09 Noviembre 1749,*El mágico Apolonio (1ª parte) ,,,,1749,,,Nicolás Martínez,Sainetes,1,,,,Josef de Parra,Sunday,
10 Noviembre 1749,*El mágico Apolonio (1ª parte) ,,,,1749,,,Nicolás Martínez,Sainetes,1,,,,Josef de Parra,Monday,
11 Noviembre 1749,*El mágico Apolonio (1ª parte) ,,,,1749,,,Nicolás Martínez,Sainetes,1,,,,Josef de Parra,Tuesday,
12 Noviembre 1749,*El mágico Apolonio (1ª parte) ,,,,1749,,,Nicolás Martínez,Sainetes,1,,,,Josef de Parra,Wednesday,
24 Noviembre 1749,*Las hazañas de Teseo,,Zarzuela,,,,,,,,,,,Manuel de San Miguel,Monday,
02 Diciembre 1749,*Hado y divisa de Leónido y Marfisa,,,,,,,,,,,,,Josef de Parra,Tuesday,
25 Diciembre 1749,*El mágico de Ferrera,,,,1749,,,,,,,,,Josef de Parra,Thursday,
