Performance Date,Play 1 Title,Author 1 Name,Play 1 Genre,Play 1 # of Acts,Play 1 Date of Premier,Play 1 Box Office Receipts,Play 2 Title,Author 2 Name,Play 2 Genre,Play 2 # of Acts,Play 2 Date of Premier,Play 2 Box Office Receipts,Play 3,Company Director,Day of the Week
14 Abril 1748,Dar tiempo al tiempo,Pedro Calderón de la Barca,,3,1650,3163,,,,,,,,Joseph de Parra,Sunday
15 Abril 1748,Dar tiempo al tiempo,Pedro Calderón de la Barca,,3,1650,3086,,,,,,,,Joseph de Parra,Monday
16 Abril 1748,Dar tiempo al tiempo,Pedro Calderón de la Barca,,3,1650,2135,,,,,,,,Joseph de Parra,Tuesday
17 Abril 1748,La hija del aire (1ª parte),Pedro Calderón de la Barca,,3,1653,714,,,,,,,,Joseph de Parra,Wednesday
18 Abril 1748,La hija del aire (1ª parte),Pedro Calderón de la Barca,,3,1653,1209,,,,,,,,Joseph de Parra,Thursday
19 Abril 1748,La hija del aire (2ª parte),Pedro Calderón de la Barca,,3,1653,908,,,,,,,,Joseph de Parra,Friday
20 Abril 1748,La hija del aire (2ª parte),Pedro Calderón de la Barca,,3,1653,825,,,,,,,,Joseph de Parra,Saturday
21 Abril 1748,La hija del aire (2ª parte),Pedro Calderón de la Barca,,3,1653,1317,,,,,,,,Joseph de Parra,Sunday
22 Abril 1748,Lo mejor es lo mejor,Antonio Folch de Cardona,,3,1682,770,,,,,,,,Joseph de Parra,Monday
23 Abril 1748,Lo mejor es lo mejor,Antonio Folch de Cardona,,3,1682,720,,,,,,,,Joseph de Parra,Tuesday
24 Abril 1748,El amante mudo,"Sebastián de Villaviciosa, Juan de Zabaleta, Juan de Matos Fragoso",,3,,753,,,,,,,,Joseph de Parra,Wednesday
25 Abril 1748,El amante mudo,"Sebastián de Villaviciosa, Juan de Zabaleta, Juan de Matos Fragoso",,3,,879,,,,,,,,Joseph de Parra,Thursday
26 Abril 1748,Las cuentas del Gran Capitán,José de Cañizares,,3,1715,1549,,,,,,,,Joseph de Parra,Friday
27 Abril 1748,Las cuentas del Gran Capitán,José de Cañizares,,3,1715,1543,,,,,,,,Joseph de Parra,Saturday
28 Abril 1748,Las cuentas del Gran Capitán,José de Cañizares,,3,1715,3242,,,,,,,,Joseph de Parra,Sunday
29 Abril 1748,Las cuentas del Gran Capitán,José de Cañizares,,3,1715,1478,,,,,,,,Joseph de Parra,Monday
30 Abril 1748,Los desagravios de Cristo,Álvaro Cubillo de Aragón,,3,1637,774,,,,,,,,Joseph de Parra,Tuesday
01 Mayo 1748,Los desagravios de Cristo,Álvaro Cubillo de Aragón,,3,1637,549,,,,,,,,Joseph de Parra,Wednesday
02 Mayo 1748,No hay contra un padre razón,Francisco de Leiva Ramírez de Arellano,,3,1683,568,,,,,,,,Joseph de Parra,Thursday
03 Mayo 1748,No hay contra un padre razón,Francisco de Leiva Ramírez de Arellano,,3,1683,579,,,,,,,,Joseph de Parra,Friday
04 Mayo 1748,El valiente negro en Flandes,*Andrés de Claramonte y Corroy,,3,1651,553,,,,,,,,Joseph de Parra,Saturday
05 Mayo 1748,El negro más prodigioso,,,,,1480,,,,,,,,Joseph de Parra,Sunday
06 Mayo 1748,El sastre del Campillo,Luis de Belmonte Bermúdez,,,,788,,,,,,,,Joseph de Parra,Monday
07 Mayo 1748,El sastre del Campillo,,,,,635,,,,,,,,Joseph de Parra,Tuesday
08 Mayo 1748,No hay contra lealtad cautelas,,,,,673,,,,,,,,Joseph de Parra,Wednesday
09 Mayo 1748,La prudencia en la niñez,,,,,2522,,,,,,,,Joseph de Parra,Thursday
10 Mayo 1748,La prudencia en la niñez,,,,,2673,,,,,,,,Joseph de Parra,Friday
11 Mayo 1748,La prudencia en la niñez,,,,,2245,,,,,,,,Joseph de Parra,Saturday
12 Mayo 1748,La prudencia en la niñez,,,,,3623,,,,,,,,Joseph de Parra,Sunday
13 Mayo 1748,La prudencia en la niñez,,,,,2229,,,,,,,,Joseph de Parra,Monday
14 Mayo 1748,La prudencia en la niñez,,,,,1574,,,,,,,,Joseph de Parra,Tuesday
15 Mayo 1748,La prudencia en la niñez,,,,,1747,,,,,,,,Joseph de Parra,Wednesday
16 Mayo 1748,La prudencia en la niñez,,,,,1209,,,,,,,,Joseph de Parra,Thursday
17 Mayo 1748,El cura de Madrilejos,,,,,1348,,,,,,,,Joseph de Parra,Friday
18 Mayo 1748,El cura de Madrilejos,,,,,1067,,,,,,,,Joseph de Parra,Saturday
19 Mayo 1748,El cura de Madrilejos,,,,,1911,,,,,,,,Joseph de Parra,Sunday
20 Mayo 1748,*El montañés en la Corte y músico por amor,,,,,1747,,,,,,,,Joseph de Parra,Monday
21 Mayo 1748,*El montañés en la Corte y músico por amor,,,,,1741,,,,,,,,Joseph de Parra,Tuesday
22 Mayo 1748,*El montañés en la Corte y músico por amor,,,,,1022,,,,,,,,Joseph de Parra,Wednesday
23 Mayo 1748,*El montañés en la Corte y músico por amor,,,,,2130,,,,,,,,Joseph de Parra,Thursday
24 Mayo 1748,La banda y la flor,,,,,534,,,,,,,,Joseph de Parra,Friday
25 Mayo 1748,La tía y la sobrina,,,,,656,,,,,,,,Joseph de Parra,Saturday
26 Mayo 1748,La tía y la sobrina,,,,,1329,,,,,,,,Joseph de Parra,Sunday
27 Mayo 1748,Hados y lados hacen dichosos y desdichados,,,,,688,,,,,,,,Joseph de Parra,Monday
28 Mayo 1748,Hados y lados hacen dichosos y desdichados,,,,,457,,,,,,,,Joseph de Parra,Tuesday
29 Mayo 1748,El Cid Campeador,,,,,716,,,,,,,,Joseph de Parra,Wednesday
30 Mayo 1748,El Cid Campeador,,,,,1669,,,,,,,,Joseph de Parra,Thursday
31 Mayo 1748,El conde de Sex,,,,,358,,,,,,,,Joseph de Parra,Friday
01 Junio 1748,Las armas de la hermosura,,,,,268,,,,,,,,Joseph de Parra,Saturday
02 Junio 1748,El monstruo de los jardines,,,,,1182,,,,,,,,Joseph de Parra,Sunday
03 Junio 1748,El monstruo de los jardines,,,,,1098,,,,,,,,Joseph de Parra,Monday
04 Junio 1748,La inclinación española,,,,,998,,,,,,,,Joseph de Parra,Tuesday
05 Junio 1748,La inclinación española,,,,,470,,,,,,,,Joseph de Parra,Wednesday
06 Junio 1748,El mejor amigo el rey,,,,,563,,,,,,,,Joseph de Parra,Thursday
07 Junio 1748,El mejor amigo el rey,,,,,462,,,,,,,,Joseph de Parra,Friday
08 Junio 1748,El duelo contra su dama,,,,,573,,,,,,,,Joseph de Parra,Saturday
09 Junio 1748,El duelo contra su dama,,,,,996,,,,,,,,Joseph de Parra,Sunday
10 Junio 1748,Las amazonas,,,,,367,,,,,,,,Joseph de Parra,Monday
11 Junio 1748,El picarito en España,,,,,598,,,,,,,,Joseph de Parra,Tuesday
12 Junio 1748,La niña de Gómez Arias,,,,,493,,,,,,,,Joseph de Parra,Wednesday
13 Junio 1748,La niña de Gómez Arias,,,,,712,,,,,,,,Joseph de Parra,Thursday
14 Junio 1748,No hay contra lealtad cautelas,,,,,197,,,,,,,,Joseph de Parra,Friday
15 Junio 1748,El ricohombre de Alcalá,,,,,369,,,,,,,,Joseph de Parra,Saturday
16 Junio 1748,El ricohombre de Alcalá,,,,,378,,,,,,,,Joseph de Parra,Sunday
21 Junio 1748,*Lo que va del hombre a Dios ,,Auto,,,2178,,Martínez,Sainete,1,,,Tonadillas agenciadas por Juan Ladvenant para el fin de fiesta del mismo,Joseph de Parra,Friday
